User_ID,Name,Age,Country,Platform,Usage_Hours_Per_Week,Subscription_Type,Satisfaction_Score,Tasks_Completed,Join_Date
76,User_76,32,USA,Gemini,23.85,Enterprise,2.17,298,2022-01-23
77,User_77,25,USA,Gemini,23.88,Free,1.47,388,2023-12-03
78,User_78,31,Australia,Claude,18.38,Free,3.61,109,2024-01-30
79,User_79,40,UK,Claude,33.61,Free,4.4,333,2023-05-01
80,User_80,57,USA,Claude,11.33,Pro,4.73,338,2023-02-19
81,User_81,38,India,Claude,18.5,Enterprise,4.89,145,2024-03-31
82,User_82,33,Australia,Claude,21.97,Free,4.12,203,2024-06-06
83,User_83,62,Canada,Gemini,26.88,Enterprise,1.56,230,2023-10-19
84,User_84,35,Australia,Gemini,31.57,Enterprise,4.41,288,2024-06-14
85,User_85,64,Canada,Gemini,16.4,Enterprise,2.6,335,2022-11-01
86,User_86,41,UK,Gemini,26.2,Free,3.92,64,2022-06-26
87,User_87,43,Canada,Gemini,6.87,Pro,3.13,436,2022-07-14
88,User_88,42,UK,Gemini,37.37,Free,4.31,493,2024-07-10
89,User_89,62,India,Gemini,15.94,Enterprise,2.7,119,2022-01-13
90,User_90,58,Canada,Claude,29.45,Free,1.25,158,2024-05-25
91,User_91,46,Australia,Gemini,1.79,Free,3.23,415,2022-06-15
92,User_92,32,UK,Claude,9.0,Enterprise,1.69,274,2022-05-30
93,User_93,62,Australia,Gemini,20.0,Enterprise,4.86,171,2022-12-07
94,User_94,18,USA,Gemini,35.25,Free,3.11,196,2024-07-13
95,User_95,42,UK,Claude,21.56,Free,3.21,419,2023-07-11
96,User_96,24,Canada,Gemini,37.26,Free,4.63,138,2022-06-23
97,User_97,26,UK,Claude,19.87,Free,3.5,493,2022-06-16
98,User_98,41,Australia,Gemini,20.13,Pro,2.21,117,2023-12-10
99,User_99,18,India,Claude,5.67,Free,2.18,398,2023-12-19
100,User_100,61,UK,Gemini,32.3,Pro,3.01,434,2023-08-17
101,User_101,25,Canada,Claude,10.63,Enterprise,4.47,456,2023-08-03
102,User_102,41,USA,Claude,36.08,Pro,4.18,415,2022-04-07
103,User_103,28,India,Gemini,36.52,Enterprise,4.85,77,2023-11-10
104,User_104,34,USA,Gemini,37.79,Pro,1.29,441,2023-02-08
105,User_105,25,UK,Claude,21.29,Enterprise,2.07,75,2022-03-18
106,User_106,52,Australia,Gemini,27.41,Free,1.32,153,2024-09-22
107,User_107,52,Australia,Claude,31.36,Pro,4.0,473,2022-08-25
108,User_108,50,Canada,Gemini,6.11,Pro,1.56,62,2023-12-09
109,User_109,22,Australia,Claude,24.44,Enterprise,1.4,137,2022-10-18
110,User_110,59,India,Gemini,2.34,Enterprise,3.25,479,2022-05-16
111,User_111,56,Australia,Claude,20.41,Pro,2.65,330,2024-03-30
112,User_112,58,Canada,Gemini,7.04,Enterprise,3.86,216,2024-03-18
113,User_113,45,UK,Claude,8.13,Free,2.95,329,2024-06-07
114,User_114,24,UK,Claude,15.24,Pro,2.7,225,2024-05-30
115,User_115,26,Australia,Gemini,17.87,Free,2.7,77,2023-01-02
116,User_116,25,USA,Gemini,25.3,Pro,4.49,456,2023-07-02
117,User_117,29,UK,Claude,3.9,Free,2.58,71,2024-06-20
118,User_118,51,Australia,Claude,20.64,Pro,2.33,219,2022-09-05
119,User_119,50,Canada,Claude,8.12,Enterprise,2.35,346,2024-02-05
120,User_120,40,Australia,Claude,23.39,Pro,1.79,336,2022-08-02
121,User_121,41,UK,Gemini,25.86,Free,4.44,379,2024-02-03
122,User_122,54,Canada,Claude,22.71,Pro,1.59,438,2022-03-11
123,User_123,52,Australia,Claude,29.79,Free,4.63,61,2024-01-16
124,User_124,61,India,Claude,14.09,Free,2.13,125,2024-09-22
125,User_125,57,Canada,Gemini,30.84,Free,4.6,390,2022-11-25
126,User_126,39,India,Claude,17.88,Enterprise,4.16,467,2022-01-16
127,User_127,44,USA,Gemini,19.88,Pro,3.33,392,2023-05-02
128,User_128,52,Canada,Gemini,26.28,Free,3.68,74,2022-06-23
129,User_129,18,India,Gemini,1.72,Enterprise,2.3,139,2023-11-30
130,User_130,52,UK,Gemini,26.51,Free,3.3,186,2024-03-16
131,User_131,54,UK,Gemini,25.12,Pro,2.17,287,2024-01-07
132,User_132,64,USA,Gemini,13.08,Enterprise,2.61,489,2022-10-01
133,User_133,31,Canada,Gemini,4.35,Free,4.06,422,2023-06-08
134,User_134,20,Canada,Claude,4.55,Free,1.98,172,2024-04-01
135,User_135,18,Canada,Claude,37.01,Free,4.36,474,2022-08-07
136,User_136,22,USA,Gemini,27.88,Pro,2.5,341,2024-07-31
137,User_137,43,Canada,Claude,5.96,Enterprise,3.13,161,2023-05-28
138,User_138,31,UK,Claude,14.91,Enterprise,4.77,359,2023-02-03
139,User_139,56,India,Gemini,24.11,Enterprise,3.73,245,2022-04-21
140,User_140,44,UK,Claude,33.59,Free,3.58,167,2024-09-13
141,User_141,26,UK,Gemini,2.7,Enterprise,3.85,477,2023-04-09
142,User_142,32,India,Claude,10.23,Free,4.67,435,2024-02-28
143,User_143,32,UK,Gemini,35.7,Pro,1.99,336,2023-10-03
144,User_144,43,USA,Gemini,1.36,Enterprise,3.45,115,2022-04-03
145,User_145,59,India,Claude,8.85,Free,2.6,315,2023-03-27
146,User_146,30,UK,Claude,38.4,Enterprise,1.05,264,2023-01-31
147,User_147,49,Australia,Gemini,24.92,Enterprise,1.5,367,2024-06-10
148,User_148,56,UK,Gemini,11.21,Pro,2.3,464,2024-07-12
149,User_149,49,USA,Gemini,3.61,Enterprise,3.26,453,2023-07-05
150,User_150,21,Canada,Claude,2.1,Pro,4.53,122,2024-07-21
151,User_151,47,UK,Claude,10.55,Enterprise,4.16,39,2023-04-24
152,User_152,54,Canada,Claude,35.38,Enterprise,3.21,21,2022-11-12
153,User_153,40,Australia,Claude,17.22,Enterprise,1.3,186,2023-11-02
154,User_154,56,UK,Gemini,29.09,Enterprise,2.14,488,2023-11-29
155,User_155,62,India,Gemini,36.81,Enterprise,2.47,347,2024-09-19
156,User_156,32,Canada,Gemini,16.91,Enterprise,3.49,55,2022-12-19
157,User_157,60,Australia,Gemini,8.46,Pro,1.26,180,2024-02-07
158,User_158,46,India,Claude,21.17,Pro,3.12,139,2022-08-27
159,User_159,53,India,Gemini,36.42,Free,4.61,254,2022-04-14
160,User_160,30,India,Gemini,32.37,Enterprise,3.82,362,2024-06-25
161,User_161,49,India,Claude,3.57,Pro,4.19,212,2024-05-27
162,User_162,24,UK,Claude,28.01,Enterprise,3.73,235,2022-01-29
163,User_163,39,UK,Gemini,23.3,Enterprise,1.83,89,2022-03-30
164,User_164,45,UK,Claude,36.39,Pro,1.44,319,2023-01-10
165,User_165,19,Australia,Gemini,5.78,Enterprise,4.32,44,2023-02-01
166,User_166,59,Australia,Claude,21.83,Pro,3.78,61,2023-07-17
167,User_167,62,Australia,Claude,35.3,Pro,3.3,170,2022-12-30
168,User_168,23,USA,Gemini,16.99,Free,1.76,478,2024-08-07
169,User_169,45,Australia,Claude,19.8,Free,3.41,93,2022-05-27
170,User_170,45,UK,Gemini,3.75,Free,1.13,337,2022-11-10
171,User_171,61,UK,Claude,11.85,Free,1.48,444,2023-07-02
172,User_172,61,USA,Claude,13.66,Enterprise,2.25,35,2024-03-06
173,User_173,37,USA,Claude,37.86,Enterprise,2.77,234,2023-03-28
174,User_174,47,Australia,Claude,12.02,Free,1.48,455,2024-06-17
175,User_175,28,Canada,Claude,18.97,Pro,1.48,326,2023-05-21
176,User_176,45,USA,Gemini,27.18,Pro,3.9,163,2023-05-01
177,User_177,42,India,Claude,7.33,Pro,3.28,302,2022-04-11
178,User_178,56,UK,Gemini,19.97,Pro,3.13,423,2022-04-17
179,User_179,50,India,Claude,29.8,Enterprise,2.81,104,2024-05-06
180,User_180,18,UK,Gemini,34.81,Pro,4.91,234,2024-07-25
181,User_181,44,UK,Claude,25.42,Pro,1.2,276,2022-10-18
182,User_182,30,USA,Gemini,27.09,Free,1.72,446,2022-12-15
183,User_183,58,USA,Gemini,5.93,Pro,3.59,50,2023-09-09
184,User_184,20,India,Claude,37.89,Enterprise,1.55,142,2024-01-03
185,User_185,56,UK,Claude,6.17,Pro,3.36,75,2023-08-11
186,User_186,23,India,Claude,31.21,Pro,3.27,406,2022-08-15
187,User_187,25,Canada,Gemini,11.33,Enterprise,4.88,456,2023-08-19
188,User_188,44,India,Gemini,37.41,Free,4.53,219,2024-09-03
189,User_189,26,Australia,Claude,29.08,Enterprise,4.78,483,2023-08-11
190,User_190,54,India,Claude,30.4,Free,1.45,162,2024-01-31
191,User_191,50,Australia,Gemini,9.54,Pro,4.47,181,2024-02-06
192,User_192,59,Australia,Gemini,18.28,Free,1.52,407,2022-02-19
193,User_193,61,Australia,Claude,25.09,Free,3.53,334,2024-05-17
194,User_194,41,Canada,Gemini,31.03,Free,3.88,68,2024-08-27
195,User_195,32,India,Claude,5.05,Pro,1.64,193,2023-12-23
196,User_196,49,India,Claude,38.53,Free,3.53,499,2022-06-07
197,User_197,49,Canada,Claude,35.72,Free,1.21,189,2022-11-24
198,User_198,41,UK,Gemini,11.54,Pro,2.17,331,2024-01-15
199,User_199,58,USA,Gemini,33.09,Enterprise,4.68,333,2024-06-01
200,User_200,29,India,Gemini,21.21,Enterprise,1.69,21,2022-03-18
201,User_201,56,USA,Gemini,19.01,Enterprise,1.26,468,2024-01-05
202,User_202,19,Canada,Claude,13.26,Pro,2.77,77,2023-09-25
203,User_203,20,UK,Gemini,23.66,Pro,4.4,436,2023-03-30
204,User_204,54,UK,Claude,29.47,Enterprise,1.31,338,2022-11-06
205,User_205,34,UK,Claude,17.03,Free,2.42,211,2022-11-23
206,User_206,19,Canada,Claude,25.54,Enterprise,4.6,484,2023-05-23
207,User_207,19,Australia,Gemini,28.27,Pro,1.47,15,2024-05-02
208,User_208,45,Australia,Claude,28.73,Free,2.24,24,2024-05-19
209,User_209,40,USA,Claude,3.03,Free,4.11,51,2022-04-17
210,User_210,54,Australia,Gemini,34.53,Pro,3.17,40,2022-08-29
211,User_211,49,Australia,Claude,18.87,Free,4.33,479,2023-03-11
212,User_212,50,UK,Gemini,11.23,Enterprise,1.45,190,2022-01-28
213,User_213,18,UK,Gemini,10.43,Pro,4.68,271,2023-12-05
214,User_214,36,USA,Gemini,19.84,Pro,4.74,298,2022-09-06
215,User_215,19,India,Claude,35.59,Pro,1.62,422,2022-12-30
216,User_216,61,USA,Gemini,15.76,Pro,1.14,30,2023-12-26
217,User_217,43,USA,Gemini,30.24,Free,4.96,389,2023-06-17
218,User_218,49,Canada,Gemini,4.78,Pro,2.93,191,2023-04-17
219,User_219,23,Canada,Gemini,19.57,Pro,3.29,193,2023-10-29
220,User_220,49,USA,Claude,39.68,Free,3.46,253,2023-06-23
221,User_221,21,USA,Gemini,31.05,Pro,4.16,359,2023-08-12
222,User_222,28,USA,Claude,9.21,Free,4.25,158,2024-03-28
223,User_223,34,Australia,Gemini,20.56,Free,1.78,265,2023-02-17
224,User_224,55,Canada,Claude,10.11,Pro,1.95,109,2024-07-23
225,User_225,41,USA,Gemini,16.97,Enterprise,4.51,64,2023-07-23
226,User_226,22,UK,Claude,31.42,Pro,4.28,195,2023-09-23
227,User_227,51,UK,Gemini,31.08,Enterprise,3.47,329,2024-09-14
228,User_228,23,Australia,Claude,9.9,Free,4.98,95,2022-06-14
229,User_229,39,Australia,Claude,36.97,Enterprise,3.94,183,2024-09-15
230,User_230,28,India,Claude,24.11,Pro,1.86,477,2023-07-30
231,User_231,33,India,Gemini,15.82,Pro,4.39,31,2022-02-17
232,User_232,50,India,Claude,20.58,Enterprise,2.66,253,2023-10-24
233,User_233,26,Australia,Claude,24.6,Pro,1.14,69,2023-04-29
234,User_234,23,Australia,Claude,22.84,Enterprise,2.29,113,2022-06-07
235,User_235,33,Australia,Claude,19.97,Free,4.05,148,2023-10-30
236,User_236,46,UK,Gemini,20.69,Enterprise,4.84,312,2022-05-31
237,User_237,20,Australia,Claude,7.88,Enterprise,2.1,168,2022-08-13
238,User_238,37,UK,Claude,32.7,Enterprise,1.99,241,2022-09-17
239,User_239,53,India,Claude,22.13,Enterprise,3.25,86,2023-01-22
240,User_240,36,India,Gemini,6.11,Free,4.25,27,2022-09-13
241,User_241,43,India,Claude,30.88,Free,3.99,31,2022-03-02
242,User_242,20,USA,Claude,37.37,Free,3.24,193,2024-05-13
243,User_243,36,USA,Claude,37.94,Enterprise,3.53,154,2024-02-11
244,User_244,37,Canada,Claude,15.39,Free,1.97,47,2024-04-12
245,User_245,49,Canada,Gemini,6.29,Pro,2.73,290,2023-01-31
246,User_246,24,Canada,Claude,21.22,Free,2.02,297,2023-02-01
247,User_247,58,USA,Claude,5.39,Enterprise,4.54,152,2022-06-11
248,User_248,50,USA,Gemini,37.43,Pro,1.45,22,2023-01-15
249,User_249,57,Canada,Gemini,8.16,Enterprise,3.72,195,2023-03-19
250,User_250,56,Canada,Gemini,10.86,Pro,2.04,483,2022-12-15
251,User_251,35,Australia,Claude,16.86,Enterprise,2.9,443,2024-08-26
252,User_252,57,Canada,Gemini,15.94,Enterprise,2.2,276,2022-01-31
253,User_253,18,Australia,Claude,31.99,Pro,2.29,278,2022-03-12
254,User_254,28,UK,Gemini,18.8,Free,2.04,106,2023-02-01
255,User_255,45,USA,Claude,7.66,Pro,4.01,443,2023-03-14
256,User_256,42,Canada,Gemini,11.42,Pro,2.46,366,2022-01-02
257,User_257,40,USA,Claude,20.86,Pro,3.91,303,2024-07-17
258,User_258,48,USA,Gemini,6.75,Pro,2.82,10,2023-07-16
259,User_259,47,USA,Claude,24.85,Pro,3.19,304,2022-05-15
260,User_260,59,UK,Claude,23.06,Enterprise,3.17,36,2022-05-26
261,User_261,52,India,Claude,28.87,Enterprise,4.9,45,2022-06-28
262,User_262,24,Canada,Claude,37.57,Free,2.47,169,2022-09-21
263,User_263,33,India,Claude,36.58,Free,1.83,434,2022-11-07
264,User_264,43,India,Claude,37.9,Pro,4.65,408,2022-07-23
265,User_265,19,India,Claude,10.54,Free,1.7,40,2024-03-21
266,User_266,18,USA,Claude,6.13,Free,4.34,136,2023-11-30
267,User_267,29,Australia,Gemini,12.79,Pro,1.6,271,2022-01-30
268,User_268,22,USA,Claude,35.91,Enterprise,3.63,354,2022-02-28
269,User_269,54,USA,Claude,38.91,Enterprise,1.6,445,2022-01-09
270,User_270,49,India,Gemini,34.51,Free,4.69,219,2024-09-14
271,User_271,26,USA,Claude,5.29,Enterprise,3.26,159,2022-11-20
272,User_272,58,India,Gemini,37.95,Enterprise,2.32,40,2022-06-16
273,User_273,52,Australia,Claude,17.51,Free,1.56,109,2022-12-03
274,User_274,36,Canada,Gemini,1.36,Pro,2.48,338,2024-06-25
275,User_275,33,India,Gemini,18.25,Free,3.82,311,2023-01-14
276,User_276,20,Australia,Claude,2.8,Free,2.54,460,2024-06-16
277,User_277,37,Canada,Gemini,22.21,Free,1.98,362,2024-03-01
278,User_278,41,UK,Claude,14.2,Pro,3.31,228,2023-12-04
279,User_279,50,India,Claude,19.46,Pro,2.67,262,2022-08-30
280,User_280,41,India,Claude,24.91,Pro,1.66,180,2024-02-29
281,User_281,28,UK,Claude,34.88,Pro,1.62,266,2024-08-14
282,User_282,25,UK,Gemini,26.81,Free,3.83,437,2023-10-28
283,User_283,53,India,Claude,17.93,Enterprise,4.9,66,2024-06-26
284,User_284,55,UK,Gemini,32.96,Free,1.93,18,2022-06-09
285,User_285,57,USA,Gemini,36.32,Pro,4.09,14,2024-02-16
286,User_286,37,Canada,Claude,5.67,Enterprise,1.35,344,2022-08-23
287,User_287,52,Canada,Claude,21.75,Free,2.53,123,2023-03-29
288,User_288,42,Canada,Claude,12.1,Enterprise,3.03,274,2024-05-07
289,User_289,52,USA,Claude,2.84,Pro,2.07,182,2022-07-18
290,User_290,42,UK,Gemini,27.07,Enterprise,3.12,229,2023-04-22
291,User_291,46,Australia,Claude,34.65,Enterprise,4.53,214,2022-02-02
292,User_292,35,UK,Gemini,7.35,Pro,4.78,33,2023-02-12
293,User_293,63,India,Claude,32.68,Enterprise,1.4,467,2022-03-30
294,User_294,35,Canada,Claude,34.28,Free,2.09,179,2023-08-30
295,User_295,19,UK,Claude,36.66,Enterprise,4.92,415,2022-08-09
296,User_296,52,Australia,Claude,11.35,Free,2.08,112,2022-03-10
297,User_297,33,India,Gemini,36.25,Enterprise,3.77,69,2022-10-21
298,User_298,58,USA,Gemini,13.51,Enterprise,2.01,95,2022-08-25
299,User_299,53,USA,Claude,22.54,Pro,2.43,264,2024-06-25
300,User_300,50,Australia,Gemini,2.97,Pro,1.77,174,2022-06-09
301,User_301,21,India,Gemini,2.71,Free,4.43,381,2024-04-11
302,User_302,50,Canada,Claude,29.09,Pro,4.53,176,2024-04-19
303,User_303,31,UK,Claude,18.33,Pro,2.19,93,2024-02-27
304,User_304,38,India,Gemini,11.0,Pro,4.29,467,2022-10-17
305,User_305,37,USA,Gemini,8.43,Pro,2.43,211,2024-05-28
306,User_306,25,Australia,Gemini,27.13,Pro,1.4,99,2023-07-08
307,User_307,24,Australia,Gemini,1.02,Free,4.03,98,2024-06-22
308,User_308,20,UK,Claude,32.43,Free,3.39,446,2023-08-01
309,User_309,34,Australia,Claude,4.09,Pro,2.1,129,2023-06-17
310,User_310,50,Australia,Gemini,8.47,Pro,2.01,165,2022-12-01
311,User_311,29,India,Claude,16.06,Free,4.9,470,2023-08-05
312,User_312,39,Canada,Gemini,19.91,Enterprise,4.45,408,2024-02-12
313,User_313,39,UK,Gemini,14.84,Free,4.24,197,2023-05-17
314,User_314,63,India,Claude,13.51,Enterprise,1.51,197,2022-09-03
315,User_315,47,Canada,Gemini,38.59,Pro,4.02,271,2022-11-19
316,User_316,55,India,Gemini,26.02,Pro,1.86,61,2024-01-17
317,User_317,55,India,Claude,1.91,Free,4.91,149,2024-07-27
318,User_318,62,Australia,Claude,17.78,Pro,1.21,28,2024-02-23
319,User_319,25,Canada,Gemini,35.13,Enterprise,2.41,489,2023-09-03
320,User_320,44,UK,Gemini,12.76,Enterprise,2.71,84,2022-11-25
321,User_321,44,UK,Claude,4.69,Free,4.3,239,2023-07-01
322,User_322,51,Canada,Gemini,30.58,Enterprise,4.06,490,2022-12-05
323,User_323,38,Australia,Gemini,24.63,Free,2.5,139,2022-06-20
324,User_324,47,USA,Claude,23.24,Free,3.26,64,2022-04-20
325,User_325,50,India,Claude,3.09,Enterprise,4.34,280,2024-09-20
326,User_326,45,Australia,Claude,6.48,Enterprise,1.07,457,2024-03-17
327,User_327,64,Canada,Claude,25.28,Enterprise,4.21,109,2022-01-10
328,User_328,50,India,Claude,9.11,Enterprise,4.79,78,2022-07-21
329,User_329,22,UK,Claude,20.66,Enterprise,1.13,408,2024-07-04
330,User_330,36,USA,Gemini,22.25,Enterprise,1.18,308,2022-09-14
331,User_331,21,UK,Gemini,12.06,Enterprise,2.38,467,2022-09-19
332,User_332,52,Canada,Claude,37.99,Pro,1.35,26,2023-11-24
333,User_333,34,India,Claude,33.86,Free,2.92,363,2023-03-06
334,User_334,61,Canada,Gemini,29.17,Free,3.91,125,2023-05-22
335,User_335,45,India,Gemini,4.04,Enterprise,3.27,161,2022-03-07
336,User_336,47,Australia,Gemini,5.14,Free,1.79,339,2024-03-16
337,User_337,46,USA,Claude,20.22,Enterprise,3.62,125,2023-11-04
338,User_338,63,Australia,Claude,7.27,Pro,3.74,39,2023-08-02
339,User_339,23,Australia,Gemini,39.15,Free,4.73,332,2023-09-04
340,User_340,52,Canada,Claude,7.18,Free,1.59,60,2023-08-12
341,User_341,58,USA,Claude,20.01,Pro,3.77,69,2022-02-04
342,User_342,54,India,Claude,15.2,Pro,4.65,238,2024-09-01
343,User_343,41,India,Gemini,25.94,Pro,3.01,268,2023-07-11
344,User_344,46,UK,Gemini,6.03,Free,2.45,369,2023-10-24
345,User_345,63,India,Claude,17.78,Free,1.68,14,2023-05-06
346,User_346,48,Canada,Claude,11.71,Pro,4.47,37,2023-08-03
347,User_347,52,Australia,Claude,35.62,Pro,2.58,263,2022-09-11
348,User_348,50,Australia,Claude,2.58,Pro,4.7,373,2022-01-17
349,User_349,38,Australia,Claude,36.64,Pro,4.39,471,2022-09-18
350,User_350,49,USA,Gemini,33.49,Pro,2.51,240,2023-12-26
351,User_351,40,India,Claude,12.61,Enterprise,3.3,404,2024-04-04
352,User_352,50,Canada,Claude,31.78,Pro,1.11,465,2022-09-13
353,User_353,20,USA,Claude,2.22,Enterprise,2.05,366,2023-12-29
354,User_354,35,UK,Gemini,38.71,Free,3.84,209,2024-05-12
355,User_355,42,Canada,Gemini,21.54,Free,3.71,341,2023-02-28
356,User_356,59,Canada,Claude,12.83,Enterprise,2.41,280,2023-05-16
357,User_357,48,Canada,Gemini,15.14,Pro,4.23,348,2022-10-13
358,User_358,20,Australia,Gemini,3.59,Free,1.94,313,2024-07-26
359,User_359,57,Canada,Gemini,39.58,Pro,2.85,392,2022-01-07
360,User_360,63,India,Gemini,2.53,Pro,2.89,55,2023-05-12
361,User_361,41,Canada,Gemini,26.54,Enterprise,2.36,37,2024-06-10
362,User_362,49,Australia,Gemini,18.27,Free,4.82,16,2022-07-18
363,User_363,64,Canada,Claude,38.01,Free,3.79,241,2023-08-26
364,User_364,39,UK,Gemini,10.59,Enterprise,3.16,208,2024-09-10
365,User_365,40,UK,Gemini,21.75,Pro,3.04,103,2023-10-21
366,User_366,19,Australia,Claude,19.81,Pro,1.64,91,2024-07-25
367,User_367,44,India,Claude,28.41,Free,2.49,97,2023-02-22
368,User_368,59,India,Claude,3.65,Enterprise,3.69,399,2023-10-24
369,User_369,19,USA,Claude,8.56,Enterprise,4.7,195,2022-02-21
370,User_370,43,Australia,Gemini,9.37,Pro,4.27,252,2022-08-31
371,User_371,34,Canada,Gemini,29.79,Pro,2.2,77,2022-08-07
372,User_372,57,Australia,Gemini,8.38,Enterprise,2.74,320,2023-06-02
373,User_373,50,USA,Gemini,23.37,Free,1.33,460,2024-08-27
374,User_374,26,Australia,Claude,9.39,Pro,1.41,442,2022-04-19
